"Scenario","Replicate","Final_Abundance"
"Northern_brown_bandicoot_high_disp_recorded_fires",91,15936.4546421272
"Northern_brown_bandicoot_high_disp_recorded_fires",92,13523.0311848703
"Northern_brown_bandicoot_high_disp_recorded_fires",93,16914.3705634893
"Northern_brown_bandicoot_high_disp_recorded_fires",94,14496.9405656377
"Northern_brown_bandicoot_high_disp_recorded_fires",95,25499.0123771142
"Northern_brown_bandicoot_high_disp_recorded_fires",96,5508.74428762528
"Northern_brown_bandicoot_high_disp_recorded_fires",97,15732.209587171
"Northern_brown_bandicoot_high_disp_recorded_fires",98,3093.58259132128
"Northern_brown_bandicoot_high_disp_recorded_fires",99,10123.8430691399
"Northern_brown_bandicoot_high_disp_recorded_fires",100,12038.913046224
"Northern_brown_bandicoot_low_disp_clumped_fires",1,12376.6866077864
"Northern_brown_bandicoot_low_disp_clumped_fires",2,13443.7282283741
"Northern_brown_bandicoot_low_disp_clumped_fires",3,29492.1632356162
"Northern_brown_bandicoot_low_disp_clumped_fires",4,3528.08023855454
"Northern_brown_bandicoot_low_disp_clumped_fires",5,8037.44376405748
"Northern_brown_bandicoot_low_disp_clumped_fires",6,8439.78122751402
"Northern_brown_bandicoot_low_disp_clumped_fires",7,27282.9252269387
"Northern_brown_bandicoot_low_disp_clumped_fires",8,15890.0051540423
"Northern_brown_bandicoot_low_disp_clumped_fires",9,16267.033333523
"Northern_brown_bandicoot_low_disp_clumped_fires",10,29854.5439811728
"Northern_brown_bandicoot_low_disp_clumped_fires",11,13447.5363584099
"Northern_brown_bandicoot_low_disp_clumped_fires",12,23637.3145424951
"Northern_brown_bandicoot_low_disp_clumped_fires",13,14708.3571278772
"Northern_brown_bandicoot_low_disp_clumped_fires",14,13209.3843921533
"Northern_brown_bandicoot_low_disp_clumped_fires",15,18934.6498359689
"Northern_brown_bandicoot_low_disp_clumped_fires",16,7275.37636860607
"Northern_brown_bandicoot_low_disp_clumped_fires",17,4769.97785955054
"Northern_brown_bandicoot_low_disp_clumped_fires",18,21177.6804848379
"Northern_brown_bandicoot_low_disp_clumped_fires",19,18513.1208739755
"Northern_brown_bandicoot_low_disp_clumped_fires",20,9729.26498122438
"Northern_brown_bandicoot_low_disp_clumped_fires",21,5889.10935149447
"Northern_brown_bandicoot_low_disp_clumped_fires",22,18644.338770467
"Northern_brown_bandicoot_low_disp_clumped_fires",23,14314.6847580156
"Northern_brown_bandicoot_low_disp_clumped_fires",24,9328.496892514
"Northern_brown_bandicoot_low_disp_clumped_fires",25,7056.46624931873
"Northern_brown_bandicoot_low_disp_clumped_fires",26,22371.7012070145
"Northern_brown_bandicoot_low_disp_clumped_fires",27,10216.4191599161
"Northern_brown_bandicoot_low_disp_clumped_fires",28,10911.9195230439
"Northern_brown_bandicoot_low_disp_clumped_fires",29,18042.5559034075
"Northern_brown_bandicoot_low_disp_clumped_fires",30,13850.7623640929
"Northern_brown_bandicoot_low_disp_clumped_fires",31,7285.94086550957
"Northern_brown_bandicoot_low_disp_clumped_fires",32,5529.65782393379
"Northern_brown_bandicoot_low_disp_clumped_fires",33,10912.5973036348
"Northern_brown_bandicoot_low_disp_clumped_fires",34,7502.12242162613
"Northern_brown_bandicoot_low_disp_clumped_fires",35,12801.813462467
"Northern_brown_bandicoot_low_disp_clumped_fires",36,6096.7041278478
"Northern_brown_bandicoot_low_disp_clumped_fires",37,6851.15573665828
"Northern_brown_bandicoot_low_disp_clumped_fires",38,8243.4811111187
"Northern_brown_bandicoot_low_disp_clumped_fires",39,9400.04323034543
"Northern_brown_bandicoot_low_disp_clumped_fires",40,7415.31503885465
"Northern_brown_bandicoot_low_disp_clumped_fires",41,8807.07726310671
"Northern_brown_bandicoot_low_disp_clumped_fires",42,16918.9543036237
"Northern_brown_bandicoot_low_disp_clumped_fires",43,6288.9936677043
"Northern_brown_bandicoot_low_disp_clumped_fires",44,22810.912266301
"Northern_brown_bandicoot_low_disp_clumped_fires",45,10945.3414466945
"Northern_brown_bandicoot_low_disp_clumped_fires",46,13136.5376756604
"Northern_brown_bandicoot_low_disp_clumped_fires",47,8664.56397951144
"Northern_brown_bandicoot_low_disp_clumped_fires",48,10903.9575775203
"Northern_brown_bandicoot_low_disp_clumped_fires",49,17389.0431472008
"Northern_brown_bandicoot_low_disp_clumped_fires",50,9922.01585820781
"Northern_brown_bandicoot_low_disp_clumped_fires",51,24158.2955538869
"Northern_brown_bandicoot_low_disp_clumped_fires",52,8246.17697756367
"Northern_brown_bandicoot_low_disp_clumped_fires",53,6288.46074548969
"Northern_brown_bandicoot_low_disp_clumped_fires",54,13511.8442517441
"Northern_brown_bandicoot_low_disp_clumped_fires",55,6514.13908788899
"Northern_brown_bandicoot_low_disp_clumped_fires",56,7432.88759381045
"Northern_brown_bandicoot_low_disp_clumped_fires",57,9536.1047822821
"Northern_brown_bandicoot_low_disp_clumped_fires",58,3289.90890568464
"Northern_brown_bandicoot_low_disp_clumped_fires",59,15829.8943223722
"Northern_brown_bandicoot_low_disp_clumped_fires",60,5515.28418323009
"Northern_brown_bandicoot_low_disp_clumped_fires",61,23784.6019365821
"Northern_brown_bandicoot_low_disp_clumped_fires",62,27883.856465245
"Northern_brown_bandicoot_low_disp_clumped_fires",63,5379.46008874465
"Northern_brown_bandicoot_low_disp_clumped_fires",64,16739.4196479565
"Northern_brown_bandicoot_low_disp_clumped_fires",65,9449.43825033926
"Northern_brown_bandicoot_low_disp_clumped_fires",66,19224.8728643028
"Northern_brown_bandicoot_low_disp_clumped_fires",67,10863.8773879701
"Northern_brown_bandicoot_low_disp_clumped_fires",68,15005.5186403204
"Northern_brown_bandicoot_low_disp_clumped_fires",69,8766.33143731847
"Northern_brown_bandicoot_low_disp_clumped_fires",70,8371.81267688006
"Northern_brown_bandicoot_low_disp_clumped_fires",71,16301.4736810659
"Northern_brown_bandicoot_low_disp_clumped_fires",72,10037.7599803185
"Northern_brown_bandicoot_low_disp_clumped_fires",73,9995.27677125309
"Northern_brown_bandicoot_low_disp_clumped_fires",74,7000.97019250376
"Northern_brown_bandicoot_low_disp_clumped_fires",75,8981.59441913629
"Northern_brown_bandicoot_low_disp_clumped_fires",76,3803.51346109125
"Northern_brown_bandicoot_low_disp_clumped_fires",77,17576.3468945749
"Northern_brown_bandicoot_low_disp_clumped_fires",78,10014.0849713176
"Northern_brown_bandicoot_low_disp_clumped_fires",79,8598.83016932649
"Northern_brown_bandicoot_low_disp_clumped_fires",80,16929.8891326353
"Northern_brown_bandicoot_low_disp_clumped_fires",81,8429.54465082524
"Northern_brown_bandicoot_low_disp_clumped_fires",82,11338.8327562532
"Northern_brown_bandicoot_low_disp_clumped_fires",83,14765.7088095209
